,LocationID,Borough,Zone,service_zone
1,2,4,Jamaica Bay,Boro Zone
2,3,2,Allerton/Pelham Gardens,Boro Zone
3,4,1,Alphabet City,Yellow Zone
4,5,5,Arden Heights,Boro Zone
5,6,5,Arrochar/Fort Wadsworth,Boro Zone
6,7,4,Astoria,Boro Zone
7,8,4,Astoria Park,Boro Zone
8,9,4,Auburndale,Boro Zone
9,10,4,Baisley Park,Boro Zone
10,11,3,Bath Beach,Boro Zone
11,12,1,Battery Park,Yellow Zone
12,13,1,Battery Park City,Yellow Zone
13,14,3,Bay Ridge,Boro Zone
14,15,4,Bay Terrace/Fort Totten,Boro Zone
15,16,4,Bayside,Boro Zone
16,17,3,Bedford,Boro Zone
17,18,2,Bedford Park,Boro Zone
18,19,4,Bellerose,Boro Zone
19,20,2,Belmont,Boro Zone
20,21,3,Bensonhurst East,Boro Zone
21,22,3,Bensonhurst West,Boro Zone
22,23,5,Bloomfield/Emerson Hill,Boro Zone
23,24,1,Bloomingdale,Yellow Zone
24,25,3,Boerum Hill,Boro Zone
25,26,3,Borough Park,Boro Zone
26,27,4,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
27,28,4,Briarwood/Jamaica Hills,Boro Zone
28,29,3,Brighton Beach,Boro Zone
29,30,4,Broad Channel,Boro Zone
30,31,2,Bronx Park,Boro Zone
31,32,2,Bronxdale,Boro Zone
32,33,3,Brooklyn Heights,Boro Zone
33,34,3,Brooklyn Navy Yard,Boro Zone
34,35,3,Brownsville,Boro Zone
35,36,3,Bushwick North,Boro Zone
36,37,3,Bushwick South,Boro Zone
37,38,4,Cambria Heights,Boro Zone
38,39,3,Canarsie,Boro Zone
39,40,3,Carroll Gardens,Boro Zone
40,41,1,Central Harlem,Boro Zone
41,42,1,Central Harlem North,Boro Zone
42,43,1,Central Park,Yellow Zone
43,44,5,Charleston/Tottenville,Boro Zone
44,45,1,Chinatown,Yellow Zone
45,46,2,City Island,Boro Zone
46,47,2,Claremont/Bathgate,Boro Zone
47,48,1,Clinton East,Yellow Zone
48,49,3,Clinton Hill,Boro Zone
49,50,1,Clinton West,Yellow Zone
50,51,2,Co-Op City,Boro Zone
51,52,3,Cobble Hill,Boro Zone
52,53,4,College Point,Boro Zone
53,54,3,Columbia Street,Boro Zone
54,55,3,Coney Island,Boro Zone
55,56,4,Corona,Boro Zone
56,57,4,Corona,Boro Zone
57,58,2,Country Club,Boro Zone
58,59,2,Crotona Park,Boro Zone
59,60,2,Crotona Park East,Boro Zone
60,61,3,Crown Heights North,Boro Zone
61,62,3,Crown Heights South,Boro Zone
62,63,3,Cypress Hills,Boro Zone
63,64,4,Douglaston,Boro Zone
64,65,3,Downtown Brooklyn/MetroTech,Boro Zone
65,66,3,DUMBO/Vinegar Hill,Boro Zone
66,67,3,Dyker Heights,Boro Zone
67,68,1,East Chelsea,Yellow Zone
